0	0.144736842	0.052631579
54	0.139473684	0.039473684
108	0.134210526	0.039473684
162	0.136842105	0.036842105
216	0.086842105	0.042105263
270	0.102631579	0.044736842
324	0.110526316	0.028947368
378	0.107894737	0.026315789
432	0.097368421	0.034210526
486	0.107894737	0.018421053
540	0.060526316	0.028947368
594	0.063157895	0.018421053
648	0.05	0.021052632
702	0.047368421	0.010526316
756	0.060526316	0.015789474
810	0.073684211	0.034210526
864	0.094736842	0.042105263
918	0.084210526	0.036842105
972	0.110526316	0.028947368
1026	0.118421053	0.031578947
1080	0.126315789	0.044736842
1134	0.126315789	0.047368421
1188	0.136842105	0.044736842
1242	0.131578947	0.065789474
